location,longitude,latitude,start,end,epiUnit
Wymondham, South Norfolk,1.15,52.55,11/7/2022,12/31/1969,Farm
Hatton, South Derbyshire,-1.69,52.88,11/6/2022,12/31/1969,Farm
Reepham, Broadland ,1.08,52.72,10/30/2022,12/31/1969,Farm
Fakenham, North Norfolk,0.89,52.87,10/28/2022,12/31/1969,Farm
Dereham, Breckland ,0.83,52.66,11/1/2022,12/31/1969,Farm
Kirkham, Fylde,-2.9,53.82,11/1/2022,12/31/1969,Farm
Attleborough, Breckland,0.98,52.51,10/28/2022,12/31/1969,Farm
Dereham, Breckland,0.82,52.71,10/28/2022,12/31/1969,Farm
Taverham, Broadland,1.17,52.74,10/29/2022,12/31/1969,Farm
Boston, Boston,-0.05,52.96,10/29/2022,12/31/1969,Farm
Much Hoole, South Ribble ,-2.78,53.705,10/25/2022,12/31/1969,Farm
Thirsk, Hambleton ,-1.42,54.21,10/30/2022,12/31/1969,Farm
North Thoresby, East Lindsey,0,53.48,10/30/2022,12/31/1969,Farm
Somersham, Huntingdonshire,0,52.39,10/27/2022,12/31/1969,Farm
Much Hoole, South Ribble ,-2.75,53.71,10/24/2022,12/31/1969,Farm
Somercotes, East Lindsey,0.12,53.47,10/26/2022,12/31/1969,Farm
Much Hoole, South Ribble ,-2.78,53.7,10/25/2022,12/31/1969,Farm
Saxmundham, East Suffolk ,1.51,52.19,10/25/2022,12/31/1969,Farm
Attleborough, Breckland ,1.04,52.47,10/24/2022,12/31/1969,Farm
Much Hoole, South Ribble ,-2.78,53.7,10/24/2022,12/31/1969,Farm
North Somercotes, East Lindsey ,0.09,53.44,10/23/2022,12/31/1969,Farm
Dereham, Breckland,1.02,52.68,10/22/2022,12/31/1969,Farm
Stalham, North Norfolk ,1.52,52.79,10/22/2022,12/31/1969,Farm
Dereham, Breckland,0.87,52.75,10/21/2022,12/31/1969,Farm
Pilling, Wyre ,-2.88,53.92,10/18/2022,12/31/1969,Farm
Feltwell, King’s Lynn and West Norfolk,0.53,52.51,10/19/2022,12/31/1969,Farm
Dereham, Breckland ,0.91,52.6,10/19/2022,12/31/1969,Farm
Taverham, Broadland,1.17,52.71,10/19/2022,12/31/1969,Farm
Leyland, South Ribble,-2.76,53.71,10/13/2022,12/31/1969,Farm
Dereham, Breckland ,0.85,52.69,10/20/2022,12/31/1969,Farm
Woodhall Spa, East Lindsay ,-0.21,53.12,10/17/2022,12/31/1969,Farm
Aylsham, Broadland,1.18,52.79,10/20/2022,12/31/1969,Farm
Halesworth, East Suffolk ,1.4,52.29,10/18/2022,12/31/1969,Farm
Taverham, Broadland,1.12,52.69,10/14/2022,12/31/1969,Farm
Attleborough, Breckland ,0.94,52.52,10/18/2022,12/31/1969,Farm
Long Stratton, South Norfolk,1.18,52.45,10/16/2022,12/31/1969,Farm
Mundford, Breckland ,0.63,52.51,10/16/2022,12/31/1969,Farm
Beverley, East Riding of Yorkshire ,-0.44,53.91,10/15/2022,12/31/1969,Farm
Wymondham, South Norfolk,1.09,52.57,10/16/2022,12/31/1969,Farm
Dereham, Breckland ,1.01,52.66,10/14/2022,12/31/1969,Farm
Witham, Braintree, Essex ,0.61,51.78,10/6/2022,12/31/1969,Other
Dereham, Breckland,0.92,52.6,10/11/2022,12/31/1969,Farm
Billingshurst, Horsham,-0.4,51.01,10/13/2022,12/31/1969,Farm
Fetwell, King’s Lynn & West Norfolk,0.48,52.46,10/15/2022,12/31/1969,Farm
Dereham, Breckland,0.95,52.6,10/15/2022,12/31/1969,Farm
Munford, Breckland,0.65,52.52,10/14/2022,12/31/1969,Farm
Mileham, Breckland,0.82,52.77,10/15/2022,12/31/1969,Farm
Feltwell, King’s Lynn & West Norfolk ,0.44,52.46,10/10/2022,12/31/1969,Farm
Wymondham, South Norfolk ,1.09,52.59,10/13/2022,12/31/1969,Farm
Dereham, Breckland ,1.05,52.67,10/10/2022,12/31/1969,Farm
Hingham, South Norfolk ,0.95,52.56,10/8/2022,12/31/1969,Farm
Wymondham, South Norfolk ,1.02,52.56,10/11/2022,12/31/1969,Farm
Mundford, Breckland,0.66,52.53,10/10/2022,12/31/1969,Farm
Kelvedon, Braintree,0.79,51.9,10/10/2022,12/31/1969,Farm
Attleborough, Breckland,1.01,52.56,10/6/2022,12/31/1969,Farm
Sleaford, North Kesteven,-0.51,53,10/9/2022,12/31/1969,Farm
Attleborough, Breckland,0.96,52.52,10/8/2022,12/31/1969,Farm
Attleborough, Breckland,1.02,52.47,10/8/2022,12/31/1969,Farm
Dereham, Breckland,1.02,52.67,10/6/2022,12/31/1969,Farm
Holt, North Norfolk,1.07,52.85,10/7/2022,12/31/1969,Farm
Attleborough, Breckland,0.86,52.5,10/7/2022,12/31/1969,Farm
Munford, Breckland,0.66,52.53,10/6/2022,12/31/1969,Farm
Attleborough, Breckland,0.96,52.54,10/4/2022,12/31/1969,Farm
Heybridge, Maldon,0.72,51.7,10/5/2022,12/31/1969,Farm
Attleborough, Breckland,0.96,52.55,10/4/2022,12/31/1969,Farm
Kelvedon, Braintree,0.68,51.89,10/3/2022,12/31/1969,Farm
Mundford, Breckland,0.62,52.55,9/26/2022,12/31/1969,Farm
Attleborough, Breckland,0.92,52.43,9/30/2022,12/31/1969,Farm
Attleborough, Breckland,0.9,52.53,9/25/2022,12/31/1969,Farm
Attleborough, Breckland,0.95,52.52,9/29/2022,12/31/1969,Farm
