location,longitude,latitude,start,end,epiUnit,eventID,animal type,outbreakNumber,species,death,cases,susceptible,killed,slaughtered,First administrative division
La Concepción ,-80.97189,8.842332,2/2/2023,12/31/1969,Other,4789,wild,113948,Brown Pelican,3,3,0,0,0,Veraguas
La Concepción ,-80.97189,8.842332,2/2/2023,12/31/1969,Other,4789,domestic,113948,Birds,3,18,384,381,0,Veraguas
Zürich,8.532,47.386,3/5/2023,12/31/1969,Other,4733,wild,115958,Mute Swan,1,1,0,0,0,Zürich
Zoraida,-77.39677,1.34117,2/19/2023,12/31/1969,Backyard,4668,domestic,115381,Birds,0,5,15,15,0,Nariño
Playa de Isla Perico; Calzada de Amador Panamá,-79.52274,8.91385,1/24/2023,12/31/1969,Other,4789,wild,113305,Brown Pelican,3,4,0,1,0,Panamanian Exclusive Economic Zone
Traspatio G O,-77.39033,1.32944,2/14/2023,12/31/1969,Backyard,4668,domestic,115379,Birds,0,9,9,9,0,Nariño
Altnau,9.27,47.623,3/5/2023,12/31/1969,Body of water,4733,wild,115957,Black-headed Gull,2,2,0,0,0,Thurgau
HPAI_H5N1_2021_W_071,18.5,-33.8,11/20/2022,2/19/2023,Other,3733,wild,110173,Jackass Penguin;Cape gannet,1,121,411,5,0,Western Cape
El Modesto,-77.39661,1.34038,2/14/2023,12/31/1969,Backyard,4668,domestic,115377,Birds,0,5,5,5,0,Nariño
Puerto Vacamonte,-79.6689,8.8617,1/3/2023,2/1/2023,Other,4789,wild,111892,Wildlife (species unspecified),0,1,0,1,0,Panamá Oeste
Kreuzlingen,9.194,47.648,3/3/2023,12/31/1969,Body of water,4733,wild,115955,Black-headed Gull,3,3,0,0,0,Thurgau
HPAI_H5N1_2021_W_042,18.5,-34.0,10/10/2021,1/8/2022,Other,3733,wild,92314,White-breasted cormorant,0,1,0,1,0,Western Cape
El Platanal,-80.471964,9.11398,2/2/2023,12/31/1969,Other,4789,wild,113946,Brown Pelican,0,1,0,1,0,Colón
Traspatio A S,-75.7422,8.9624,11/10/2022,2/22/2023,Backyard,4668,domestic,109778,Birds,25,27,30,5,0,Córdoba
Lac Léman,6.692,46.499,3/4/2023,12/31/1969,Body of water,4733,wild,115956,Black-headed Gull,1,1,0,0,0,Vaud
HPAI_H5N1_2021_W_040,19.41723,-34.68251,10/9/2021,2/25/2023,Other,3733,wild,91938,Jackass Penguin;Cape cormorant,15066,15283,27400,212,0,Western Cape
Schaffhausen,8.6304,47.6969,3/3/2023,12/31/1969,Other,4733,wild,115954,Black-headed Gull,1,1,0,0,0,Schaffhausen
HPAI_H5N1_2021_W_051,24.8,-34.2,10/31/2021,12/30/2022,Other,3733,wild,93544,Cape cormorant,0,1,0,1,0,Eastern Cape
Puerto Vacamonte,-79.6683,8.8627,1/31/2023,12/31/1969,Other,4789,wild,113945,Wildlife (species unspecified),0,1,0,1,0,Panamá Oeste
La Milagrosa,-75.72911,8.89376,11/12/2022,2/22/2023,Backyard,4668,domestic,110570,Birds,74,100,100,26,0,Córdoba
Zürich,8.55,47.353,3/2/2023,12/31/1969,Body of water,4733,wild,115953,Mute Swan,1,1,0,0,0,Zürich
Traspatio N,-75.89163,9.29538,11/24/2022,2/22/2023,Backyard,4668,domestic,110578,Birds,0,8,8,8,0,Córdoba
Golfo de Panamá área marítima.,-79.29362,8.72162,12/13/2022,1/12/2023,Body of water,4789,wild,110787,Brown Pelican,1,1,0,0,0,Panamanian Exclusive Economic Zone
HPAI_H5_GAU_2021_043,19.9,-33.2,5/31/2021,2/9/2023,Farm,3649,domestic,87904,Birds,158,158,2082,0,0,Western Cape
HPAI_H5N1_2021_W_065,28.8,-27.0,3/14/2022,12/30/2022,Other,3733,wild,103394,Wildlife (species unspecified),0,1,0,0,0,Mpumalanga
Traspatio A P,-75.7747,8.9833,11/25/2022,2/22/2023,Backyard,4668,domestic,110573,Birds,36,40,61,25,0,Córdoba
Lac Léman,6.8517,46.456,3/2/2023,12/31/1969,Body of water,4733,wild,115952,Black-headed Gull,1,1,0,0,0,Vaud
HPAI_H5N1_2021_W_073,17.9,-33.0,10/18/2022,1/17/2023,Other,3733,wild,110175,Cape gannet,0,4,0,0,0,Western Cape
HPAI_H5_GAU_2021_090,22.3,-33.7,7/21/2022,1/9/2023,Farm,3649,domestic,106775,Birds,0,3,573,0,0,Western Cape
Csengele,19.8481,46.5393,11/26/2022,12/1/2022,Farm,4706,domestic,109885,Birds,0,0,6400,6400,0,Csongrád-Csanád
Traspatio J H,-75.78221,8.97201,11/25/2022,2/22/2023,Backyard,4668,domestic,110571,Birds,10,14,30,20,0,Córdoba
Lac de Neuchâtel,6.873,46.966,3/2/2023,12/31/1969,Body of water,4733,wild,115951,Black-headed Gull,0,1,0,1,0,Neuchâtel
HPAI_H5N1_2021_W_072,18.4,-34.2,11/10/2022,2/8/2023,Other,3733,wild,110174,Cape cormorant,0,1,0,0,0,Western Cape
HPAI_H5_GAU_2021_096,27.9,-26.3,1/5/2023,12/31/1969,Farm,3649,domestic,112843,Birds,1226,1226,1226,0,0,Gauteng
Wörth am Rhein,8.3,49.06,3/1/2023,3/9/2023,Not applicable,4129,wild,115788,Laridae (unidentified),1,1,0,0,0,Rheinland-Pfalz
Csengele,19.8176,46.5435,11/26/2022,12/1/2022,Farm,4706,domestic,109884,Birds,0,0,5432,5432,0,Csongrád-Csanád
Baldeggersee,8.275,47.185,3/2/2023,12/31/1969,Body of water,4733,wild,115950,Black-headed Gull,3,3,0,0,0,Lucerne
Traspatio D L,-75.7432,8.9622,11/22/2022,2/22/2023,Backyard,4668,domestic,109776,Birds,32,32,35,3,0,Córdoba
HPAI_H5N1_2021_W_070,18.7,-34.0,7/27/2022,11/11/2022,Other,3733,wild,106225,Jackass Penguin;Common Tern,1,2,0,1,0,Western Cape
Mainz,8.25,50.01,2/27/2023,12/31/1969,Not applicable,4129,wild,115787,Laridae (unidentified),1,1,0,0,0,Rheinland-Pfalz
Forráskút,19.888786,46.35904,11/25/2022,11/29/2022,Farm,4706,domestic,109882,Birds,45,45,8260,8215,0,Csongrád-Csanád
La Familia,-75.887126,9.304113,11/13/2022,2/22/2023,Backyard,4668,domestic,109448,Birds,6,6,37,31,0,Córdoba
Kocabas,29.3012,37.8151,2/22/2023,12/31/1969,Farm,4878,domestic,114584,Birds,2000,30781,1390000,1388000,0,Denizli
HPAI_H5_GAU_2021_092,28.6,-26.3,10/2/2022,12/28/2022,Farm,3649,domestic,107705,Birds,155,236,236,81,0,Gauteng
HPAI_H5N1_2021_W_069,18.6,-33.8,6/13/2022,9/11/2022,Other,3733,wild,105051,Common Tern,0,1,0,1,0,Western Cape
Mainz,8.27,50.0,2/21/2023,12/31/1969,Not applicable,4129,wild,115280,Laridae (unidentified),5,5,0,0,0,Rheinland-Pfalz
Szentes,20.294252,46.66445,11/8/2022,11/11/2022,Farm,4706,domestic,108864,Birds,89,89,9705,9616,0,Csongrád-Csanád
Békéscsaba,21.069071,46.68616,3/5/2023,3/6/2023,Farm,4750,domestic,115572,Birds,111,111,300,189,0,Békés
Asagihilal,29.9822,37.9066,1/30/2023,12/31/1969,Farm,4878,domestic,113361,Birds,97000,97000,2968005,2871005,0,Afyon
HPAI_H5_GAU_2021_091,30.5,-29.7,9/14/2022,12/7/2022,Farm,3649,domestic,107009,Birds,33,33,23216,23183,0,KwaZulu-Natal
San Miguel,-75.7613,8.9624,11/23/2022,2/22/2023,Backyard,4668,domestic,109781,Birds,6,6,42,36,0,Córdoba
HPAI_H5N1_2021_W_064,18.8,-33.9,3/20/2022,6/19/2022,Other,3733,wild,101127,Swift tern,0,1,0,1,0,Western Cape
Sándorfalva,20.1733,46.3536,11/3/2022,11/3/2022,Farm,4706,domestic,108649,Birds,1738,1738,2220,482,0,Csongrád-Csanád
Lac Léman,6.642,46.504,3/1/2023,12/31/1969,Body of water,4733,wild,115949,Black-headed Gull,1,1,0,0,0,Vaud
Wolfstein,7.62,49.57,2/16/2023,12/31/1969,Backyard,4129,domestic,114540,Birds,7,12,12,5,0,Rheinland-Pfalz
Újkígyós,21.028554,46.595656,3/5/2023,3/6/2023,Farm,4750,domestic,115571,Birds,109,109,270,161,0,Békés
La Caimanera,-75.7406,9.0279,11/9/2022,2/22/2023,Backyard,4668,domestic,109782,Birds,50,61,61,11,0,Córdoba
HPAI_H5_GAU_2021_088,30.0,-27.7,8/2/2022,11/15/2022,Farm,3649,domestic,106516,Birds,60,60,100,0,0,KwaZulu-Natal
Szentes,20.325001,46.64707,11/2/2022,11/7/2022,Farm,4706,domestic,108651,Birds,1193,1193,8349,7156,0,Csongrád-Csanád
Ermatingen,9.085,47.674,3/1/2023,12/31/1969,Other,4733,wild,115948,Black-headed Gull,1,1,0,0,0,Thurgau
HPAI_H5N1_2021_W_063,19.1,-34.3,3/12/2022,6/13/2022,Other,3733,wild,99993,Common Tern,1,1,0,0,0,Western Cape
Bad Breisig,7.3,50.49,10/30/2022,12/2/2022,Backyard,4129,domestic,114539,Birds,5,9,9,4,0,Rheinland-Pfalz
Hajdúböszörmény,21.55878,47.62286,2/4/2023,2/9/2023,Farm,4784,domestic,113578,Birds,194,194,23801,23607,0,Hajdú-Bihar
Békéscsaba,21.046991,46.71769,3/5/2023,3/7/2023,Farm,4750,domestic,115298,Birds,1117,1117,6891,5774,0,Békés
Szentes,20.406042,46.60892,12/4/2022,12/6/2022,Farm,4706,domestic,110444,Birds,32,32,3347,3315,0,Csongrád-Csanád
HPAI_H5N1_2021_W_058,23.5,-33.9,12/3/2021,3/4/2022,Other,3733,wild,95709,Cape cormorant;White-breasted cormorant,2,2,0,0,0,Western Cape
Battonya,21.048904,46.29861,1/8/2023,1/12/2023,Farm,4750,domestic,112121,Birds,0,0,1951,1951,0,Békés
Government Poultry Farm Bokaro,86.1382,23.6292,2/1/2023,12/31/1969,Farm,4950,domestic,115278,Birds,2615,2615,6147,3532,0,Jharkhand
Los Laureles,-75.7333,9.02036,11/25/2022,2/22/2023,Backyard,4668,domestic,110574,Birds,2,9,9,7,0,Córdoba
Stein am Rhein,8.855,47.66,3/1/2023,12/31/1969,Body of water,4733,wild,115947,Black-headed Gull,1,1,0,0,0,Schaffhausen
HPAI_H5_GAU_2021_095,24.5,-29.4,11/14/2022,12/31/1969,Farm,3649,domestic,109434,Birds,700,750,1640,50,0,Free State
Wörth am Rhein,8.26,49.04,12/5/2022,12/31/1969,Backyard,4129,domestic,114538,Birds,0,13,97,97,0,Rheinland-Pfalz
Nádudvar,21.156837,47.448133,12/30/2022,1/5/2023,Farm,4784,domestic,111409,Birds,1309,1309,10180,8871,0,Hajdú-Bihar
Traspatio N G,-75.82981,9.0386,12/2/2022,2/22/2023,Backyard,4668,domestic,110576,Birds,1,1,6,5,0,Córdoba
HPAI_H5_GAU_2021_094,31.0,-29.1,11/10/2022,12/31/1969,Farm,3649,domestic,109433,Birds,100,100,0,0,0,KwaZulu-Natal
Hajdúszoboszló,21.170037,47.485876,12/24/2022,12/27/2022,Farm,4784,domestic,111408,Birds,20,20,5100,5080,0,Hajdú-Bihar
HPAI_H5N1_2021_W_056,18.3,-32.6,12/16/2021,3/16/2022,Other,3733,wild,95399,Common Tern,0,1,0,1,0,Western Cape
Tótkomlós,20.778503,46.437833,11/26/2022,11/29/2022,Farm,4750,domestic,109541,Birds,183,183,3080,2897,0,Békés
Kistelek,19.988948,46.47424,12/4/2022,12/11/2022,Farm,4706,domestic,110445,Birds,30,30,45,15,0,Csongrád-Csanád
Westheim (Pfalz),8.323,49.247,12/5/2022,12/31/1969,Backyard,4129,domestic,114537,Birds,0,4,317,317,0,Rheinland-Pfalz
Lac de Neuchâtel,6.933,46.99,3/1/2023,12/31/1969,Body of water,4733,wild,115946,Black-headed Gull,1,1,0,0,0,Neuchâtel
HPAI_H5N1_2021_W_055,18.3481,-32.2958,12/20/2021,4/15/2022,Other,3733,wild,95398,Cape cormorant;Common Tern,32,33,0,1,0,Western Cape
Csengele,19.9003,46.555,12/1/2022,12/5/2022,Farm,4706,domestic,110080,Birds,68,68,11628,11560,0,Csongrád-Csanád
Nádudvar,21.203237,47.47152,12/17/2022,12/22/2022,Farm,4784,domestic,110643,Birds,2175,2175,25812,23637,0,Hajdú-Bihar
Traspatio G 12,-76.10431,9.20243,12/3/2022,2/22/2023,Backyard,4668,domestic,110575,Birds,3,3,21,18,0,Córdoba
Limbach,7.79,50.7,12/5/2022,12/31/1969,Backyard,4129,domestic,114536,Birds,0,9,31,0,0,Rheinland-Pfalz
HPAI_H5_GAU_2021_087,28.0,-26.6,4/18/2022,11/6/2022,Farm,3649,domestic,102777,Birds,42,42,157,0,0,Gauteng
Kräiligen,7.535,47.152,3/1/2023,12/31/1969,Other,4733,wild,115945,Black-headed Gull,0,1,0,1,0,Bern
Csengele,19.8872,46.516,11/29/2022,12/1/2022,Farm,4706,domestic,110079,Birds,0,0,2000,2000,0,Csongrád-Csanád
Traspatio V M,-75.7742,8.92001,12/2/2022,2/22/2023,Backyard,4668,domestic,110572,Birds,6,18,59,53,0,Córdoba
HPAI_H5N1_2021_W_052,18.357,-33.5791,11/11/2021,2/9/2022,Other,3733,wild,93817,Great-winged petrel,0,1,0,1,0,Western Cape
Marzhausen ,7.75,50.68,11/2/2022,12/15/2022,Backyard,4129,domestic,114535,Birds,1,2,19,18,0,Rheinland-Pfalz
HPAI_H5_GAU_2021_055,21.6,-34.0,7/13/2021,10/3/2022,Farm,3649,domestic,91105,Birds,0,38,1438,0,0,Western Cape
Karlsfeld,11.46,48.22,3/12/2023,3/12/2023,Not applicable,4026,wild,115725,Laridae (unidentified),1,1,0,0,0,Bayern
Thalwil,8.569,47.296,2/28/2023,12/31/1969,Body of water,4733,wild,115467,Black-headed Gull,2,2,0,0,0,Zürich
Wissen,7.78,50.75,10/31/2022,12/15/2022,Backyard,4129,domestic,114534,Birds,18,34,36,18,0,Rheinland-Pfalz
Traspatio A G,-75.74728,8.94096,11/29/2022,2/22/2023,Backyard,4668,domestic,110569,Birds,20,25,200,180,0,Córdoba
HPAI_H5N1_2021_W_047,17.9,-33.0,11/15/2021,6/18/2022,Other,3733,wild,92807,Cape cormorant;Common Tern,1500,1559,0,11,0,Western Cape
HPAI_H5_GAU_2021_038,21.5,-34.0,6/13/2021,10/3/2022,Farm,3649,domestic,87573,Birds,0,16,784,0,0,Western Cape
Csengele,19.835872,46.53438,11/29/2022,12/1/2022,Farm,4706,domestic,110078,Birds,5,5,5980,5975,0,Csongrád-Csanád
Eching,12.01,48.49,2/28/2023,3/12/2023,Not applicable,4026,wild,115723,Cygnus (unidentified),1,1,0,0,0,Bayern
Oberrieden,8.584,47.274,2/28/2023,12/31/1969,Body of water,4733,wild,115465,Black-headed Gull,1,1,0,0,0,Zürich
Dingolfing,12.51,48.63,2/26/2023,12/31/1969,Not applicable,4026,wild,115722,Cygnus (unidentified),1,1,0,0,0,Bayern
Döttesfeld,7.546159,50.625192,12/29/2021,1/26/2022,Backyard,4129,domestic,96206,Birds,3,3,8,5,0,Rheinland-Pfalz
Pasohlávky,16.5836333,48.8899111,2/26/2023,12/31/1969,Forest,4836,wild,115262,Great Egret,2,2,0,0,0,Jihomoravský
Küsnacht,8.575,47.317,2/28/2023,12/31/1969,Body of water,4733,wild,115464,Black-headed Gull,6,6,0,0,0,Zürich
HPAI_H5_GAU_2021_093,29.6,-30.2,10/2/2022,12/31/1969,Farm,3649,domestic,107706,Birds,47,47,50,0,0,KwaZulu-Natal
Traspatio A M,-75.8619,9.3021,11/27/2022,2/22/2023,Backyard,4668,domestic,109784,Birds,2,2,15,13,0,Córdoba
HPAI_H5N1_2021_W_046,19.3505,-34.587,10/7/2021,3/25/2022,Other,3733,wild,92621,Cape cormorant;White-breasted cormorant,58,69,0,5,0,Western Cape
Wang,11.997,48.493,2/28/2023,12/31/1969,Not applicable,4026,wild,115721,Laridae (unidentified);Anatidae (unidentified),2,2,0,0,0,Bayern
Stahlhofen am Wiesensee,7.999678,50.586343,11/17/2021,12/31/2021,Not applicable,4129,wild,95006,Anatidae (unidentified),6,6,0,0,0,Rheinland-Pfalz
Kunčina,16.6383339,49.79255,3/2/2023,12/31/1969,Backyard,4836,domestic,115261,Birds,9,9,22,13,0,Pardubický
Horgen,8.607,47.259,2/28/2023,12/31/1969,Body of water,4733,wild,115462,Black-headed Gull,4,4,0,0,0,Zürich
HPAI_H5_GAU_2021_086,28.2,-26.3,3/14/2022,5/26/2022,Farm,3649,domestic,99987,Birds,96,96,216,0,0,Gauteng
Traspatio I A,-75.7399,8.9557,11/28/2022,2/22/2023,Backyard,4668,domestic,109783,Birds,35,35,39,4,0,Córdoba
HPAI_H5N1_2021_W_045,18.0,-32.8,9/15/2021,5/31/2022,Other,3733,wild,92620,Kelp Gull;Cape cormorant;Northern giant petrel ;Swift tern,206,235,0,30,0,Western Cape
Lány,13.95872,50.12788,1/24/2023,12/31/1969,Farm,4763,domestic,113725,Birds,103,103,10111,10008,0,Středočeský
Krušovice,13.75708,50.17444,2/27/2023,12/31/1969,Backyard,4836,domestic,115260,Birds,8,8,72,64,0,Středočeský
Teublitz,12.08,49.22,2/21/2023,3/1/2023,Not applicable,4026,wild,115275,Anatidae (unidentified),1,1,0,0,0,Bayern
Traspatio S 1,-75.93485,9.31407,11/14/2022,2/22/2023,Backyard,4668,domestic,109780,Birds,3,4,4,1,0,Córdoba
Seck,8.031478,50.587882,11/17/2021,12/31/2021,Not applicable,4129,wild,95005,Ardeidae (unidentified),4,4,0,0,0,Rheinland-Pfalz
Dietikon,8.419,47.401,2/28/2023,12/31/1969,Other,4733,wild,115460,Mute Swan,1,1,0,0,0,Zürich
HPAI_H5_GAU_2021_089,30.5,-29.7,9/8/2022,12/31/1969,Farm,3649,domestic,106774,Birds,500,500,10000,7000,0,KwaZulu-Natal
HPAI_H5N1_2021_W_043,18.3178,-32.0,10/6/2021,4/15/2022,Other,3733,wild,92316,Cape cormorant;Hartlaub's gull;Cape gannet,31,116,0,85,0,Western Cape
Nouzov,15.24601,50.2696,1/15/2023,12/31/1969,Farm,4763,domestic,113107,Birds,0,0,1885,1885,0,Středočeský
Ács,17.98432,47.738884,3/3/2023,12/31/1969,Other,4834,domestic,115256,Birds,0,0,266,0,0,Komárom-Esztergom
Herschbach,7.726,50.56377,11/17/2021,12/31/2021,Not applicable,4129,wild,95004,Ardeidae (unidentified),1,1,0,0,0,Rheinland-Pfalz
Schwandorf,12.06,49.3,2/22/2023,3/1/2023,Not applicable,4026,wild,115273,Anatidae (unidentified);Cygnus (unidentified),2,2,0,0,0,Bayern
Benice,14.6072897,50.0128303,2/16/2023,12/31/1969,Backyard,4836,domestic,114302,Birds,3,3,57,54,0,Prague
Traspatio W R,-75.7406,8.9611,11/12/2022,2/22/2023,Backyard,4668,domestic,109775,Birds,50,78,78,28,0,Córdoba
Enge,8.538,47.364,2/28/2023,12/31/1969,Body of water,4733,wild,115458,Mute Swan,1,1,0,0,0,Zürich
HPAI_H5_GAU_2021_082,19.1,-33.2,11/14/2021,8/11/2022,Farm,3649,domestic,97829,Birds,0,3,1046,0,0,Western Cape
Dobřenice,15.6274,50.14917,1/18/2023,12/31/1969,Farm,4763,domestic,113109,Birds,21,21,23043,23022,0,Královéhradecký
HPAI_H5N1_2021_W_041,18.9,-34.3,9/28/2021,2/1/2023,Other,3733,wild,92313,White-breasted cormorant;Jackass Penguin;Cape cormorant,908,1024,10440,110,0,Western Cape
Budapest,19.31035,47.4853,1/9/2023,12/31/1969,Other,4834,domestic,112123,Birds,23,23,203,180,0,Budapest
Steinebach an der Wied,7.807106,50.593904,11/15/2021,12/31/2021,Not applicable,4129,wild,95003,Anatidae (unidentified),5,5,0,0,0,Rheinland-Pfalz
Okrouhlice 2,15.4952289,49.6310561,2/15/2023,12/31/1969,Backyard,4836,domestic,114301,Birds,65,65,116,51,0,Kraj Vysočina
Lac de Neuchâtel,6.644,46.787,2/28/2023,12/31/1969,Body of water,4733,wild,115454,Black-headed Gull,2,2,0,0,0,Vaud
Burglengenfeld,12.05,49.21,2/21/2023,3/1/2023,Not applicable,4026,wild,115272,Cygnus (unidentified);Anatidae (unidentified),3,3,0,0,0,Bayern
Traspatio M,-75.8925,9.295703,11/23/2022,2/22/2023,Backyard,4668,domestic,109774,Birds,0,2,8,6,0,Córdoba
Sedlčany,14.44557,49.65397,1/1/2023,12/31/1969,Farm,4763,domestic,112182,Birds,55,55,13298,13243,0,Středočeský
HPAI_H5N1_2021_W_038,18.0853,-33.4239,9/13/2021,4/6/2022,Other,3733,wild,91125,Cape cormorant;Great White Pelican,36,248,0,118,0,Western Cape
HPAI_H5_GAU_2021_051,28.2,-25.9,8/8/2021,8/16/2022,Farm,3649,domestic,89143,Birds,18286,18286,140000,118682,0,Gauteng
Shibata-City2,139.327,37.9478,2/26/2023,2/26/2023,Not applicable,4634,wild,115828,Large-billed Crow,1,1,0,0,0,Niigata
Romanshorn,9.38,47.565,2/28/2023,12/31/1969,Body of water,4733,wild,115449,Black-headed Gull;Little Grebe,4,4,0,0,0,Thurgau
Okrouhlice 1,15.4894475,49.6323814,2/15/2023,12/31/1969,Backyard,4836,domestic,114299,Birds,6,6,11,5,0,Kraj Vysočina
Herschbach,7.727863,50.563783,11/13/2021,12/31/2021,Not applicable,4129,wild,95002,Ardeidae (unidentified),2,2,0,0,0,Rheinland-Pfalz
Prien a. Chiemsee,12.36,47.86,2/20/2023,2/26/2023,Not applicable,4026,wild,114821,Laridae (unidentified),1,1,0,0,0,Bayern
Traspatio R D,-75.75253,8.9419,11/1/2022,2/22/2023,Backyard,4668,domestic,109455,Birds,70,80,132,62,0,Córdoba
