location,longitude,latitude,start,end,epiUnit
Ladybank, Fife ,-3.1,56.29,12/20/2022,12/31/1969,Backyard
Horley, Reigate and Banstead ,-0.14,51.16,12/15/2022,12/31/1969,Backyard
Norfolk,1.05,52.72,12/9/2022,12/8/2022,Other
Andover, Hampshire,-1.46,51.21,12/13/2022,12/12/2022,Other
Osterley, Greater London,-0.34,51.48,12/13/2022,12/12/2022,Other
Farncombe, Surrey,-0.59,51.19,12/13/2022,12/12/2022,Other
Trentham, Staffordshire,-2.19,52.96,11/9/2022,12/12/2022,Other
Barnes, Greater London,-0.23,51.47,10/10/2022,12/5/2022,Other
Warnham, West Sussex ,-0.33,51.07,11/21/2022,11/30/2022,Other
Lanarkshire, Glasgow,-4.17,55.87,11/16/2022,12/5/2022,Other
Temple, Midlothian,-3.11,55.77,11/29/2022,12/5/2022,Other
Waterloo, Merseyside ,-3.03,53.46,12/6/2022,12/5/2022,Other
Church, Lancashire,-2.39,53.75,11/23/2022,12/9/2022,Other
Audley, Staffordshire,-2.28,53.05,10/1/2022,12/9/2022,Other
Lymm, Cheshire ,-2.44,53.38,12/10/2022,12/9/2022,Other
Treeton, South Yorkshire,-1.34,53.37,12/2/2022,12/6/2022,Other
Broomhill, South Yorkshire ,-1.36,53.52,12/7/2022,12/6/2022,Other
Weybread, Suffolk ,1.31,52.38,12/12/2022,12/11/2022,Other
Holkham, Norfolk ,0.81,52.96,12/9/2022,12/8/2022,Other
Pettywell, Norfolk ,1.05,52.77,12/9/2022,12/8/2022,Other
Waltham on the Wolds, Leicestershire ,-0.8,52.8,12/8/2022,12/7/2022,Other
Mimbridge, Surrey ,-0.57,51.33,12/8/2022,12/7/2022,Other
Horton, Berkshire ,-0.53,51.48,12/8/2022,12/7/2022,Other
Langley, Buckinghamshire ,-0.51,51.5,12/5/2022,12/4/2022,Other
Cheapside, Berkshire ,-0.65,51.42,12/5/2022,12/4/2022,Other
Bolton upon Dearne, South Yorkshire,-1.3,53.51,12/6/2022,12/5/2022,Other
Thrybergh, South Yorkshire ,-1.28,53.45,12/6/2022,12/5/2022,Other
Birstall, West Yorkshire,-1.64,53.72,11/24/2022,12/4/2022,Other
Borley Green, Suffolk ,0.91,52.21,11/29/2022,11/28/2022,Other
Fontmell Magna, Dorset,-2.14,50.94,12/1/2022,11/30/2022,Other
Rotherhithe, Greater London,-0.04,51.5,12/1/2022,11/30/2022,Other
Clifton, West Yorkshire,-1.74,53.7,12/1/2022,11/30/2022,Other
Hetton-le-Hole, Tyne & Wear,-1.44,54.82,12/1/2022,11/30/2022,Other
Frogshall, Norfolk,1.35,52.89,12/3/2022,12/2/2022,Other
Bass Rock, East Lothian ,-2.64,56.07,11/29/2022,11/28/2022,Other
Henbury, Cheshire ,-2.18,53.26,10/28/2022,12/5/2022,Other
Findhorn, Moray ,-3.61,57.66,11/19/2022,11/23/2022,Other
Thirsk, North Yorkshire,-1.35,54.22,12/1/2022,11/30/2022,Other
Birkdale, Merseyside,-3.01,53.62,11/30/2022,11/29/2022,Other
Worcestershire,-2.31,52.37,11/25/2022,11/24/2022,Other
Birdsall, North Yorkshire,-0.73,54.07,11/27/2022,11/26/2022,Other
North Wootton, Somerset,-2.62,51.17,11/27/2022,11/26/2022,Other
Sand Hutton, North Yorkshire,-0.94,54.01,11/28/2022,11/27/2022,Other
Sykehouse, South Yorkshire,-1.009,53.66,12/1/2022,11/30/2022,Other
Little Bollington, Greater Manchester,-2.38,53.37,11/30/2022,12/1/2022,Other
Lee, Greater London,0.01,51.45,12/1/2022,11/30/2022,Other
St Michaels, Kent,0.66,51.08,11/30/2022,11/29/2022,Other
Upper Clapton, Greater London,-0.06,51.57,12/1/2022,11/30/2022,Other
Isleham, Cambridgeshire,0.42,52.35,11/30/2022,11/29/2022,Other
Chapel Porth, Cornwall,-5.23,50.3,9/27/2022,10/3/2022,Other
Eldene, Wiltshire,-1.74,51.54,9/29/2022,10/23/2022,Other
North Down and Ards,-5.68,54.66,6/7/2022,11/29/2022,Other
Colden Common, Winchester ,-1.28,50.99,12/3/2022,12/31/1969,Zoo
Armagh, Banbridge and Craigavon,-6.32,54.46,12/5/2022,12/4/2022,Other
Highclere, Basingstoke and Deane ,-1.38,51.33,12/1/2022,12/31/1969,Other
