country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Hungary,Harkakötöny,19.62088,46.45707,11/20/2022,11/22/2022,Farm,Birds,39,39,domestic,4693,109205
Hungary,Szank,19.683815,46.559267,11/19/2022,11/22/2022,Farm,Birds,26,26,domestic,4693,109204
Hungary,Csólyospálos,19.862,46.3873,11/19/2022,11/22/2022,Farm,Birds,0,0,domestic,4693,109203
Hungary,Kiskunmajsa,19.68988,46.49169,11/18/2022,11/22/2022,Farm,Birds,466,466,domestic,4693,109202
Hungary,Kiskunmajsa,19.646619,46.540082,11/18/2022,11/23/2022,Farm,Birds,0,0,domestic,4693,109201
Hungary,Kiskunmajsa,19.753716,46.465166,11/18/2022,11/22/2022,Farm,Birds,68,68,domestic,4693,109200
Hungary,Bócsa,19.49705,46.673759,11/19/2022,11/22/2022,Farm,Birds,0,0,domestic,4693,109199
Hungary,Bócsa,19.54551,46.61693,11/14/2022,11/17/2022,Farm,Birds,0,0,domestic,4693,109198
Hungary,Kiskunmajsa,19.678431,46.517887,11/14/2022,11/16/2022,Farm,Birds,27,27,domestic,4693,109197
Hungary,Kiskunmajsa,19.78125,46.49436,11/16/2022,11/19/2022,Farm,Birds,0,0,domestic,4693,109196
Hungary,Bócsa,19.532421,46.641252,11/15/2022,11/17/2022,Farm,Birds,27,27,domestic,4693,109195
Hungary,Bócsa,19.524528,46.640484,11/15/2022,11/17/2022,Farm,Birds,14,14,domestic,4693,109194
Hungary,Szank,19.692088,46.569793,11/15/2022,11/17/2022,Farm,Birds,333,333,domestic,4693,109192
Hungary,Bugac,19.68128,46.6956,11/14/2022,11/16/2022,Farm,Birds,56,56,domestic,4693,109190
Hungary,Bócsa,19.51327,46.645837,11/14/2022,11/17/2022,Farm,Birds,52,52,domestic,4693,109189
Hungary,Bócsa,19.53663,46.63089,11/10/2022,11/15/2022,Farm,Birds,0,0,domestic,4693,108861
Hungary,Bócsa,19.537992,46.62291,11/11/2022,11/15/2022,Farm,Birds,0,0,domestic,4693,108863
Hungary,Bócsa,19.537445,46.61957,11/9/2022,11/15/2022,Farm,Birds,300,300,domestic,4693,108862
Hungary,Bugac,19.661755,46.68631,11/8/2022,11/9/2022,Farm,Birds,221,221,domestic,4693,108860
Hungary,Bócsa,19.545777,46.62641,11/7/2022,11/15/2022,Farm,Birds,0,0,domestic,4693,108859
Hungary,Kiksunmajsa,19.741665,46.54423,11/5/2022,11/9/2022,Farm,Birds,0,0,domestic,4693,108858
Hungary,Bugac,19.663134,46.67918,11/3/2022,11/9/2022,Farm,Birds,682,682,domestic,4693,108857
Hungary,Bócsa,19.536083,46.62731,11/2/2022,11/4/2022,Farm,Birds,49,49,domestic,4693,108809
Hungary,Kiskunmajsa,19.77264,46.4899,11/2/2022,11/5/2022,Farm,Birds,20,20,domestic,4693,108547
Hungary,Bugac,19.65301,46.6784,11/2/2022,11/3/2022,Farm,Birds,76,76,domestic,4693,108540
Russia,Komsomol'skaya,136.920542,50.590526,10/22/2022,3/5/2023,Farm,Birds,381314,381314,domestic,4690,108372
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Indian Peafowl;Eurasian Sparrowhawk;Common Guineafowl;Mallard;Andean Condor;Ostrich;Greater Flamingo,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Birds,0,0,domestic,4895,113772
